Gipps following-car model simulation 
Simulation Time : [Acceleration, Speed, Location, Headway]
V1: [0.967000,16.368400,-509.645400,46.894400] 
V2: [0.846700,17.026600,-509.645400,19.784700] 
V3: [1.299700,13.070100,-509.645400,44.309700] 
V4: [1.926000,12.087000,-509.645400,28.754900] 
V5: [1.143700,7.882900,-509.645400,25.859100] 
V6: [1.176600,7.840800,-509.645400,12.831600] 
V7: [1.173800,7.623300,-509.645400,13.925900] 
V8: [1.172200,7.457800,-509.645400,13.259000] 
V9: [1.193100,7.373400,-509.645400,12.469700] 
Simulation Time: 12.670000 
V0: [0.735300,19.683600,-509.645400,0.000000] 
V1: [0.854700,16.938200,-509.645400,49.054800] 
V2: [0.758100,17.531900,-509.645400,19.724200] 
V3: [1.243400,13.899000,-509.645400,47.157000] 
V4: [1.802400,13.288600,-509.645400,29.825200] 
V5: [1.152700,8.651400,-509.645400,29.575900] 
V6: [1.187900,8.632700,-509.645400,13.364900] 
V7: [1.188300,8.415500,-509.645400,14.599700] 
V8: [1.192600,8.252800,-509.645400,13.898000] 
V9: [1.218400,8.185600,-509.645400,13.052600] 
Simulation Time: 13.330000 
V0: [0.631200,20.104400,-509.645400,0.000000] 
V1: [0.751000,17.438800,-509.645400,51.118700] 
V2: [0.670700,17.979000,-509.645400,19.659000] 
V3: [1.182400,14.687300,-509.645400,49.744800] 
V4: [1.661400,14.396200,-509.645400,30.637000] 
V5: [1.155400,9.421700,-509.645400,33.484800] 
V6: [1.192000,9.427400,-509.645400,13.882000] 
V7: [1.194800,9.212000,-509.645400,15.273100] 
V8: [1.202900,9.054800,-509.645400,14.535400] 
V9: [1.231900,9.006900,-509.645400,13.626000] 
Simulation Time: 14.000000 
V0: [0.539600,20.464100,-509.645400,0.000000] 
V1: [0.656600,17.876500,-509.645400,53.091800] 
V2: [0.587600,18.370800,-509.645400,19.587100] 
V3: [1.118300,15.432900,-509.645400,52.065400] 
V4: [1.511200,15.403600,-509.645400,31.226200] 
V5: [1.152200,10.189800,-509.645400,37.518600] 
V6: [1.189400,10.220300,-509.645400,14.380200] 
V7: [1.194000,10.008000,-509.645400,15.942300] 
V8: [1.204800,9.858000,-509.645400,15.166900] 
V9: [1.235800,9.830800,-509.645400,14.185300] 
Simulation Time: 14.670000 
V0: [0.459700,20.770500,-509.645400,0.000000] 
V1: [0.571500,18.257500,-509.645400,54.980900] 
V2: [0.510800,18.711300,-509.645400,19.508100] 
V3: [1.052500,16.134500,-509.645400,54.115200] 
V4: [1.358900,16.309600,-509.645400,31.630600] 
V5: [1.143500,10.952200,-509.645400,41.613200] 
V6: [1.180800,11.007500,-509.645400,14.856800] 
V7: [1.186800,10.799100,-509.645400,16.604200] 
V8: [1.199400,10.657600,-509.645400,15.788700] 
V9: [1.231500,10.651800,-509.645400,14.726700] 
Simulation Time: 15.330000 
V0: [0.390400,21.030800,-509.645400,0.000000] 
V1: [0.495500,18.587900,-509.645400,56.793100] 
V2: [0.441000,19.005300,-509.645400,19.423000] 
V3: [0.986100,16.791900,-509.645400,55.894000] 
V4: [1.209900,17.116200,-509.645400,31.887800] 
V5: [1.129900,11.705400,-509.645400,45.708800] 
V6: [1.166700,11.785300,-509.645400,15.309800] 
V7: [1.173800,11.581700,-509.645400,17.255900] 
V8: [1.187600,11.449300,-509.645400,16.397600] 
V9: [1.125100,11.401900,-509.645400,15.268500] 
Simulation Time: 16.000000 
V0: [0.330700,21.251300,-509.645400,0.000000] 
V1: [0.428300,18.873400,-509.645400,58.535600] 
V2: [0.378500,19.257700,-509.645400,19.333000] 
V3: [0.920100,17.405300,-509.645400,57.405200] 
V4: [1.068000,17.828100,-509.645400,32.033300] 
V5: [1.111800,12.446600,-509.645400,49.751500] 
V6: [1.147800,12.550500,-509.645400,15.737800] 
V7: [1.155600,12.352100,-509.645400,17.894900] 
V8: [1.170300,12.229500,-509.645400,16.991200] 
V9: [0.914500,12.011600,-509.645400,15.872100] 
Simulation Time: 16.670000 
V0: [0.279600,21.437700,-509.645400,0.000000] 
V1: [0.369200,19.119600,-509.645400,60.215500] 
V2: [0.323200,19.473200,-509.645400,19.239700] 
V3: [0.855300,17.975500,-509.645400,58.654800] 
V4: [0.935800,18.452000,-509.645400,32.099600] 
V5: [1.089700,13.173100,-509.645400,53.694000] 
